Portfolio Name,Symbol,ISIN,Name,Transaction Date,Transaction Type,Transaction Amount,Transaction Charges,Transaction Units,Transaction Price,Price,Date
Pai,AARTIDRUGS,INE767A01016,Aarti Drugs Limited,2022-10-24,Purchase,7355.2,0,16,459.7,,
Pai,AARTIDRUGS,INE767A01016,Aarti Drugs Limited,2022-11-02,Purchase,473.4,0,1,473.4,,
Pai,AARTIDRUGS,INE767A01016,Aarti Drugs Limited,2022-12-01,Purchase,452.65,0,1,452.65,,
Pai,AARTIDRUGS,INE767A01016,Aarti Drugs Limited,2023-01-12,Purchase,448.85,0,1,448.85,,
Pai,AARTIDRUGS,INE767A01016,Aarti Drugs Limited,2023-02-08,Dividend,19,0,0,0,,
Pai,AARTIDRUGS,INE767A01016,Aarti Drugs Limited,2023-03-13,Purchase,5381.6,0,16,336.35,,
Pai,AARTIDRUGS,INE767A01016,Aarti Drugs Limited,2023-08-24,Sale,-900,0,-1,900,,
Pai,AARTIDRUGS,INE767A01016,Aarti Drugs Limited,2024-02-06,Dividend,34,0,0,0,,
Pai,AARTIDRUGS,INE767A01016,Aarti Drugs Limited,2024-10-29,Sale,-7235.45,17.05,-15,483.5,,
Pai,AARTIDRUGS,INE767A01016,Aarti Drugs Limited,2024-10-29,Sale,-2417.25,0,-5,483.45,,
Pai,AARTIDRUGS,INE767A01016,Aarti Drugs Limited,2024-10-29,Sale,-6769.7,0,-14,483.55,,
Pai,AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Limited,2023-10-23,Purchase,27132.7,0,71,382.15,,
Pai,AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Limited,2024-02-16,Dividend,142,0,0,0,,
Pai,AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Limited,2024-07-31,Dividend,71,0,0,0,,
Pai,AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Limited,2025-02-14,Dividend,177.5,0,0,0,,
Pai,AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Limited,2025-09-15,Dividend,177.5,0,0,0,,
Pai,AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Limited,2025-11-11,Sale,-14312.7,0,-19,753.3,,
Pai,AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Limited,2025-11-11,Sale,-14313.6,0,-19,753.35,,
Pai,AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Limited,2025-11-11,Sale,-16500.7,70.83,-22,753.25,,
Pai,AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Limited,2025-11-11,Sale,-753.65,0,-1,753.65,,
Pai,AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Limited,2025-11-11,Sale,-3014.4,0,-4,753.6,,
Pai,AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Limited,2025-11-11,Sale,-1507.1,0,-2,753.55,,
Pai,AARTIPHARM,INE0LRU01027,Aarti Pharmalabs Limited,2025-11-11,Sale,-3013.6,0,-4,753.4,,
Pai,POWERINDIA,INE07Y701011,ABB Power Products and Systems India Limited,2022-10-24,Purchase,16194.8,0,5,3238.95,33020,2026-05-11
Pai,POWERINDIA,INE07Y701011,ABB Power Products and Systems India Limited,2023-03-14,Sale,-16874.5,0,-5,3374.9,33020,2026-05-11
Pai,ACC,INE012A01025,ACC Limited,2025-02-17,Purchase,18947.6,24.59,10,1892.3,,
Pai,ACC,INE012A01025,ACC Limited,2025-02-17,Purchase,1892.35,0,1,1892.35,,
Pai,ACC,INE012A01025,ACC Limited,2025-03-12,Purchase,3724.96,4.86,2,1860.05,,
Pai,ACC,INE012A01025,ACC Limited,2025-04-29,Purchase,3841.78,4.98,2,1918.4,,
Pai,ACC,INE012A01025,ACC Limited,2025-05-29,Purchase,3842.58,4.98,2,1918.8,,
Pai,ACC,INE012A01025,ACC Limited,2025-06-02,Sale,-32004.9,48.59,-17,1885.5,,
Pai,ACMESOLAR,INE622W01025,ACME Solar Holdings Limited,2025-01-30,Purchase,129097,152.77,613,210.35,246.37,2026-03-20
Pai,ACMESOLAR,INE622W01025,ACME Solar Holdings Limited,2025-02-12,Purchase,9074.77,17.83,46,196.89,246.37,2026-03-20
