Id,Name,Display Symbol,Exchange,Portfolio,Currency,Shares Owned,Cost Per Share,Commission,Transaction Date,Transaction Time,Purchase Exchange Rate,Purchase Exchange Currencies,Type,Accounting,Accounting Execution Ids,Notes,OutgoingCashLink        
1,Aarti Drugs Ltd.,AARTIDRUGS,NSI,India Stocks,INR,,,,,,,,,,,,
2,Aarti Drugs Ltd.,AARTIDRUGS,NSI,India Stocks,INR,16,459.7,0,2022-10-24 GMT+0530,12:30:00,,,Buy,,,,
3,Aarti Drugs Ltd.,AARTIDRUGS,NSI,India Stocks,INR,1,473.4,0,2022-11-02 GMT+0530,12:30:00,,,Buy,,,,
4,Aarti Drugs Ltd.,AARTIDRUGS,NSI,India Stocks,INR,1,452.65,0,2022-12-01 GMT+0530,12:30:00,,,Buy,,,,
5,Aarti Drugs Ltd.,AARTIDRUGS,NSI,India Stocks,INR,1,448.85,0,2023-01-12 GMT+0530,12:30:00,,,Buy,,,,
6,Aarti Drugs Ltd.,AARTIDRUGS,NSI,India Stocks,INR,19,0,0,2023-02-08 GMT+0530,12:30:00,,,Dividend,FIFO,,,
7,Aarti Drugs Ltd.,AARTIDRUGS,NSI,India Stocks,INR,16,336.35,0,2023-03-13 GMT+0530,12:30:00,,,Buy,,,,
8,Aarti Drugs Ltd.,AARTIDRUGS,NSI,India Stocks,INR,1,900,0,2023-08-24 GMT+0530,12:30:00,,,Sell,FIFO,,,
9,Aarti Drugs Ltd.,AARTIDRUGS,NSI,India Stocks,INR,34,0,0,2024-02-06 GMT+0530,12:30:00,,,Dividend,FIFO,,,
10,Aarti Drugs Ltd.,AARTIDRUGS,NSI,India Stocks,INR,14,483.55,0,2024-10-29 GMT+0530,12:30:00,,,Sell,FIFO,,,
11,Aarti Drugs Ltd.,AARTIDRUGS,NSI,India Stocks,INR,5,483.45,0,2024-10-29 GMT+0530,12:30:00,,,Sell,FIFO,,,
12,Aarti Drugs Ltd.,AARTIDRUGS,NSI,India Stocks,INR,15,483.5,17.05,2024-10-29 GMT+0530,12:30:00,,,Sell,FIFO,,,
13,Aarti Pharmalabs Limited,AARTIPHARM,NSI,India Stocks,INR,,,,,,,,,,,,
14,Aarti Pharmalabs Limited,AARTIPHARM,NSI,India Stocks,INR,71,382.15,0,2023-10-23 GMT+0530,12:30:00,,,Buy,,,,
15,Aarti Pharmalabs Limited,AARTIPHARM,NSI,India Stocks,INR,142,0,0,2024-02-16 GMT+0530,12:30:00,,,Dividend,FIFO,,,
16,Aarti Pharmalabs Limited,AARTIPHARM,NSI,India Stocks,INR,71,0,0,2024-07-31 GMT+0530,12:30:00,,,Dividend,FIFO,,,
17,Aarti Pharmalabs Limited,AARTIPHARM,NSI,India Stocks,INR,177.5,740,0,2025-02-14 GMT+0530,15:10:00,,,Dividend,FIFO,,,
18,Aarti Pharmalabs Limited,AARTIPHARM,NSI,India Stocks,INR,177.5,829.1,0,2025-09-15 GMT+0530,23:32:00,,,Dividend,FIFO,,,
19,Aarti Pharmalabs Limited,AARTIPHARM,NSI,India Stocks,INR,19,753.3,0,2025-11-11 GMT+0530,18:08:00,,,Sell,FIFO,,,
20,Aarti Pharmalabs Limited,AARTIPHARM,NSI,India Stocks,INR,22,753.25,70.83,2025-11-11 GMT+0530,18:12:00,,,Sell,FIFO,,,
21,Aarti Pharmalabs Limited,AARTIPHARM,NSI,India Stocks,INR,19,753.35,0,2025-11-11 GMT+0530,18:12:00,,,Sell,FIFO,,,
22,Aarti Pharmalabs Limited,AARTIPHARM,NSI,India Stocks,INR,2,753.55,0,2025-11-11 GMT+0530,18:13:00,,,Sell,FIFO,,,
23,Aarti Pharmalabs Limited,AARTIPHARM,NSI,India Stocks,INR,4,753.6,0,2025-11-11 GMT+0530,18:13:00,,,Sell,FIFO,,,
24,Aarti Pharmalabs Limited,AARTIPHARM,NSI,India Stocks,INR,1,753.65,0,2025-11-11 GMT+0530,18:13:00,,,Sell,FIFO,,,
25,Aarti Pharmalabs Limited,AARTIPHARM,NSI,India Stocks,INR,4,753.4,0,2025-11-11 GMT+0530,18:14:00,,,Sell,FIFO,,,
26,Hitachi Energy India Ltd,POWERINDIA,NSI,India Stocks,INR,,,,,,,,,,,,
27,Hitachi Energy India Ltd,POWERINDIA,NSI,India Stocks,INR,5,3238.95,0,2022-10-24 GMT+0530,12:30:00,,,Buy,,,,
28,Hitachi Energy India Ltd,POWERINDIA,NSI,India Stocks,INR,5,3374.9,0,2023-03-14 GMT+0530,12:30:00,,,Sell,FIFO,,,
29,Action Const Equip Ltd,ACE,NSI,India Stocks,INR,,,,,,,,,,,,
30,Action Const Equip Ltd,ACE,NSI,India Stocks,INR,5,433.95,0,2023-05-03 GMT+0530,12:30:00,,,Buy,,,,
31,Action Const Equip Ltd,ACE,NSI,India Stocks,INR,2,450.8,0,2023-05-12 GMT+0530,12:30:00,,,Buy,,,,
32,Action Const Equip Ltd,ACE,NSI,India Stocks,INR,3,488.7,0,2023-06-12 GMT+0530,12:30:00,,,Buy,,,,
33,Action Const Equip Ltd,ACE,NSI,India Stocks,INR,3,606.2,0,2023-07-13 GMT+0530,12:30:00,,,Buy,,,,
34,Action Const Equip Ltd,ACE,NSI,India Stocks,INR,1,779.85,0,2023-08-14 GMT+0530,12:30:00,,,Buy,,,,
35,Action Const Equip Ltd,ACE,NSI,India Stocks,INR,14,0,0,2023-08-17 GMT+0530,12:30:00,,,Dividend,FIFO,,,
36,Action Const Equip Ltd,ACE,NSI,India Stocks,INR,4,688,0,2023-09-12 GMT+0530,12:30:00,,,Buy,,,,
37,Action Const Equip Ltd,ACE,NSI,India Stocks,INR,1,718.15,0,2023-10-12 GMT+0530,12:30:00,,,Buy,,,,
38,Action Const Equip Ltd,ACE,NSI,India Stocks,INR,5,719.9,0,2023-10-12 GMT+0530,12:30:00,,,Buy,,,,
39,Action Const Equip Ltd,ACE,NSI,India Stocks,INR,24,1374.8,49.67,2024-07-19 GMT+0530,12:30:00,,,Sell,FIFO,,,
40,Action Const Equip Ltd,ACE,NSI,India Stocks,INR,21,972.7,24.36,2025-11-25 GMT+0530,14:39:00,,,Buy,,,,
41,Action Const Equip Ltd,ACE,NSI,India Stocks,INR,3,871.2,2.71,2026-02-23 GMT+0530,20:05:00,,,Buy,,,,
42,Action Const Equip Ltd,ACE,NSI,India Stocks,INR,24,841.8,36.3,2026-03-12 GMT+0530,14:17:00,,,Sell,FIFO,,,
