Symbol,Transaction Date,Buy Quantity,Buy Price,Sell Quantity,Sell Price,Charges
AARTIDRUGS,2024-10-29,,,5,483.45,
AARTIDRUGS,2024-10-29,,,14,483.55,
AARTIPHARM,2023-10-23,71,382.15,,,
AARTIPHARM,2025-11-11,,,19,753.3,
AARTIPHARM,2025-11-11,,,19,753.35,
AARTIPHARM,2025-11-11,,,22,753.25,70.83
AARTIPHARM,2025-11-11,,,1,753.65,
AARTIPHARM,2025-11-11,,,4,753.6,
AARTIPHARM,2025-11-11,,,2,753.55,
AARTIPHARM,2025-11-11,,,4,753.4,
POWERINDIA,2022-10-24,5,3238.95,,,
POWERINDIA,2023-03-14,,,5,3374.9,
ACC,2025-02-17,10,1892.3,,,24.59
ACC,2025-02-17,1,1892.35,,,
ACC,2025-03-12,2,1860.05,,,4.86
ACC,2025-04-29,2,1918.4,,,4.98
ACC,2025-05-29,2,1918.8,,,4.98
ACC,2025-06-02,,,17,1885.5,48.59
ACMESOLAR,2025-01-30,613,210.35,,,152.77
ACMESOLAR,2025-02-12,46,196.89,,,17.83
ACMESOLAR,2025-02-17,,,15,173.25,
ACMESOLAR,2025-02-17,,,120,173.1,
ACMESOLAR,2025-02-17,,,20,173.44,
ACMESOLAR,2025-02-17,,,19,173.42,
ACMESOLAR,2025-02-17,,,24,173.43,
ACMESOLAR,2025-02-17,,,444,173.02,133.67
ACMESOLAR,2025-02-17,,,1,173.5,
ACMESOLAR,2025-02-17,,,16,173.05,
ACMESOLAR,2025-03-21,659,202.15,,,158.2
ACMESOLAR,2025-03-27,,,142,190.5,
ACMESOLAR,2025-03-27,,,416,190.4,146.39
ACMESOLAR,2025-03-27,,,99,190.45,
ACMESOLAR,2025-03-27,,,2,190.55,
ACMESOLAR,2025-04-02,659,192.9,,,150.81
ACMESOLAR,2025-04-29,48,212.99,,,
ACMESOLAR,2025-04-29,62,213.02,,,
ACMESOLAR,2025-04-29,83,213.01,,,52.06
ACMESOLAR,2025-05-29,25,249.37,,,7.47
ACMESOLAR,2025-06-30,12,249.2,,,
ACMESOLAR,2025-06-30,14,249.25,,,7.72
ACMESOLAR,2025-08-29,6,288.7,,,1.8
ACMESOLAR,2025-09-29,56,272.55,,,17.83
ACMESOLAR,2025-10-29,2,285.65,,,0.68
ADOR,2023-08-14,2,1112,,,
ADOR,2023-08-14,1,1111.45,,,
ADOR,2023-09-12,1,1094.85,,,
ADOR,2023-10-12,1,1130.5,,,
ADOR,2024-12-16,,,1,1154.2,
ARTEMISMED,2025-03-03,,,51,221.15,
ARTEMISMED,2025-03-03,,,58,221.2,
ARVINDFASN,2023-09-12,1,324.9,,,
ARVINDFASN,2023-10-12,2,329,,,
ARVINDFASN,2025-01-15,,,34,501.1,33.01
ASAHISONG,2022-10-24,8,297.45,,,
ASAHISONG,2022-10-24,34,297.5,,,
ASAHISONG,2022-11-02,3,292.7,,,
ASAHISONG,2022-12-01,4,267.75,,,
ASAHISONG,2023-01-12,2,260.6,,,
ASAHISONG,2023-02-13,3,221.9,,,
ASAHISONG,2023-03-13,,,10,186.7,
ASAHISONG,2023-03-13,,,12,186.65,
ASAHISONG,2023-03-13,,,32,186.6,
ASHAPURMIN,2026-04-20,211,615.55,,,154.78
ASHOKLEY,2025-02-17,49,219.99,,,24
ASHOKLEY,2025-02-17,11,220,,,
ASHOKLEY,2025-02-17,32,220.03,,,
ASHOKLEY,2025-03-12,26,199.88,,,6.39
ASHOKLEY,2025-04-11,,,118,209.25,40.96
ASHOKLEY,2025-11-03,263,142.1,,,71.06
ASHOKLEY,2025-11-03,158,142.09,,,
ASHOKLEY,2025-11-17,8,148.24,,,1.23
ASHOKLEY,2026-05-20,,,71,149.4,
ASHOKLEY,2026-05-20,,,358,149.45,82.36
ASIANTILES,2025-12-19,60,70.16,,,
ASIANTILES,2025-12-19,10,70.1,,,
ASIANTILES,2025-12-19,113,70.14,,,
ASIANTILES,2025-12-19,131,70.15,,,
ASIANTILES,2025-12-19,400,70.07,,,60.33
ASIANTILES,2026-03-12,,,112,64.71,
BANKINDIA,2025-06-02,,,280,125.47,51.79
BANKINDIA,2025-07-03,144,118.68,,,21.34
BANKINDIA,2025-07-03,5,118.67,,,
BANKINDIA,2025-07-29,20,111.84,,,2.32
BANKINDIA,2025-08-29,,,169,111.47,34.88
BANKINDIA,2025-11-03,237,141.55,,,70.98
BANKINDIA,2025-11-03,185,141.6,,,
ACMESOLAR,2025-11-11,,,60,253.9,
ACMESOLAR,2025-11-11,,,593,253.85,271.98
ACE,2025-11-25,21,972.7,,,24.36
ACE,2026-02-23,3,871.2,,,2.71
ACE,2026-03-12,,,24,841.8,36.3
ACE,2026-04-20,14,915.55,,,15.3
AWL,2022-10-24,20,689.9,,,
AWL,2022-10-24,5,689.8,,,
AWL,2022-12-01,1,652.35,,,
AWL,2023-01-12,3,574.8,,,
AWL,2023-02-13,7,414.1,,,
AWL,2023-03-13,,,36,448.55,
AWL,2025-10-20,50,260,,,15.49
AWL,2025-10-29,2,270,,,0.64
AWL,2025-11-25,,,52,264.6,29.61
ABCAPITAL,2025-04-11,66,186.9,,,27.54
ABCAPITAL,2025-04-11,62,186.89,,,
ABCAPITAL,2025-04-29,18,201.72,,,4.77
ABCAPITAL,2025-05-29,3,222.8,,,0.69
ABCAPITAL,2025-07-29,13,251.25,,,3.39
ABCAPITAL,2025-08-29,16,279.95,,,5.65
ABCAPITAL,2025-09-29,17,284.15,,,6.01
ABCAPITAL,2025-10-29,6,312.9,,,2.23
ABCAPITAL,2025-11-17,12,333.3,,,5.15
ABCAPITAL,2025-12-02,,,14,357,23.86
ABCAPITAL,2025-12-02,,,9,357.05,
ADOR,2023-05-03,2,1074.05,,,
ADOR,2023-05-12,1,1172.35,,,
ADOR,2023-06-12,1,1177.9,,,
ADOR,2023-07-13,1,1266.75,,,
ADOR,2023-07-13,2,1267.65,,,
ARTEMISMED,2023-02-13,2,67.6,,,
ARTEMISMED,2023-03-13,26,65.55,,,
ARTEMISMED,2023-03-13,37,65.45,,,
ARTEMISMED,2025-03-03,,,8,221.05,
ARTEMISMED,2025-03-03,,,60,221.1,
ANANTRAJ,2026-02-10,91,575.75,,,103.28
ANANTRAJ,2026-03-12,,,150,461.65,87.73
ANANTRAJ,2026-03-24,22,450.4,,,
ANANTRAJ,2026-03-24,82,450.45,,,
ANANTRAJ,2026-03-24,180,450.5,,,182.52
ANANTRAJ,2026-03-24,16,450.55,,,
ANANTRAJ,2026-03-24,39,450.95,,,
ANANTRAJ,2026-04-01,1000,434.8,,,520.34
ANANTRAJ,2026-04-20,156,513.35,,,95.72
ANGELONE,2023-11-02,5,2651.15,,,
ANGELONE,2023-11-13,1,2735,,,
ANGELONE,2023-12-01,,,6,3063.05,
APARINDS,2022-10-24,12,1475.85,,,
APARINDS,2022-11-02,1,1428.85,,,
APARINDS,2022-12-01,1,1502.8,,,
APARINDS,2023-03-14,,,3,2290.5,
APARINDS,2023-04-03,1,2604,,,
APARINDS,2023-05-12,2,2645,,,
APARINDS,2023-11-02,,,1,5134.85,
APARINDS,2023-11-02,,,10,5134.9,
APARINDS,2023-11-02,,,3,5134.2,
APLAPOLLO,2025-12-19,25,1808.7,,,60.54
APLAPOLLO,2025-12-19,3,1808.6,,,
APLAPOLLO,2026-04-20,47,2117.7,,,118.25
APLAPOLLO,2026-06-11,,,75,1757.95,153.18
APOLLO,2026-01-02,725,275.7,,,238.78
APOLLO,2026-03-12,,,725,207,171.03
ARTEMISMED,2022-11-23,182,78.9,,,
ARTEMISMED,2022-12-01,7,80.5,,,
ARTEMISMED,2023-01-12,16,72,,,
ASIANTILES,2026-03-12,,,1,64.8,
ASIANTILES,2026-03-12,,,45,64.74,
ASIANTILES,2026-03-12,,,457,64.73,63.66
ASIANTILES,2026-03-12,,,99,64.81,
ASIANPAINT,2022-10-24,2,3139.05,,,
ASIANPAINT,2023-01-12,1,2905.95,,,
ASIANPAINT,2023-04-12,1,2792.65,,,
ASIANPAINT,2023-07-13,1,3396.5,,,
ASIANPAINT,2023-10-12,1,3156.7,,,
ASTRAL,2024-10-29,,,3,1774.1,
ASTRAL,2024-10-29,,,2,1774.5,
ASTRAL,2024-10-29,,,4,1774.2,20.4
ATHERENERG,2025-11-20,34,677.85,,,
ATHERENERG,2025-11-20,51,677.8,,,
ATHERENERG,2025-11-20,119,677.9,,,164.46
ATHERENERG,2026-02-03,,,10,649.8,
ATHERENERG,2026-02-03,,,11,649.7,
ATHERENERG,2026-02-03,,,42,649.85,94.86
ATHERENERG,2026-02-03,,,29,649.5,
ATHERENERG,2026-02-03,,,26,649.3,
ATHERENERG,2026-02-10,19,731.5,,,16.42
ATHERENERG,2026-05-22,7,878.2,,,10.11
ATHERENERG,2026-05-22,3,878.25,,,
AUBANK,2025-11-03,68,884.6,,,71.4
AUBANK,2025-11-17,1,913.9,,,0.95
AUBANK,2025-12-09,,,69,950.9,83.41
AUROPHARMA,2022-10-24,24,523.95,,,
AUROPHARMA,2022-11-14,,,24,465.25,
AUROPHARMA,2023-10-23,5,881.95,,,
AUROPHARMA,2023-11-02,,,2,857.65,
AUROPHARMA,2023-11-02,,,3,857.6,
AUROPHARMA,2024-01-02,10,1093.2,,,
AUROPHARMA,2024-01-12,2,1093.3,,,
AUROPHARMA,2024-02-01,14,1070.75,,,
AUROPHARMA,2024-02-12,3,1017.55,,,
AUROPHARMA,2024-03-05,,,29,1087.4,
AVALON,2023-04-17,442,436,,,
BORORENEW,2023-01-12,5,501,,,
BORORENEW,2023-02-13,3,478.9,,,
BORORENEW,2023-03-13,1,461.2,,,
BORORENEW,2023-04-03,10,419.4,,,
BORORENEW,2023-07-13,10,479.6,,,
BORORENEW,2023-07-13,5,478.35,,,
BORORENEW,2023-08-14,4,457.55,,,
BORORENEW,2023-10-12,4,420,,,
BORORENEW,2023-11-02,3,416.7,,,
BORORENEW,2023-11-02,11,416.75,,,
BORORENEW,2023-11-02,13,416.8,,,
BORORENEW,2023-11-13,2,427.8,,,
AVALON,2024-10-29,,,1,568.4,
AVALON,2024-10-29,,,12,568.35,
AVALON,2024-10-29,,,4,568.1,
AVALON,2024-10-29,,,18,568.05,
AVALON,2024-10-29,,,13,567.95,
AVALON,2024-10-29,,,7,567.9,
AVALON,2024-10-29,,,1,567.75,
AVALON,2024-10-29,,,12,567.6,
AVALON,2024-10-29,,,10,567.55,
AVALON,2024-10-29,,,1,567.45,
AVALON,2024-10-29,,,10,567.4,
AVALON,2024-10-29,,,18,567.35,
AVALON,2024-10-29,,,18,567.3,
AVALON,2024-10-29,,,75,567.25,
AVALON,2024-10-29,,,104,567.2,262.36
AVALON,2024-10-29,,,33,567.15,
AVALON,2024-10-29,,,101,567.1,
AVALON,2024-10-29,,,4,567.05,
AVALON,2026-02-04,18,1025,,,
AVALON,2026-02-04,25,1024.8,,,
AVALON,2026-02-04,42,1024.75,,,103.27
AVALON,2026-03-12,,,26,922.65,
AVALON,2026-03-12,,,15,922.25,
AVALON,2026-03-12,,,35,923,97.34
AVALON,2026-03-12,,,9,922.7,
AVALON,2026-04-15,35,1069.1,,,44.82
AVALON,2026-05-20,44,1348.4,,,70.55
AVALON,2026-05-22,4,1474.3,,,7.12
AVANTIFEED,2024-06-10,16,631,,,12.48
AVANTIFEED,2025-08-01,,,16,669.4,26.45
BANKBARODA,2024-12-09,21,262.59,,,6.72
BANKBARODA,2024-12-12,8,260.27,,,2.16
BANKBARODA,2025-01-13,10,222.32,,,2.31
BANKBARODA,2025-02-12,11,212.63,,,2.43
BANKBARODA,2025-03-12,4,204.1,,,0.85
BANKBARODA,2025-04-29,11,256.83,,,2.93
BANKBARODA,2025-05-29,18,241.93,,,5.52
BANKBARODA,2025-06-30,13,247.09,,,3.33
BANKBARODA,2025-07-29,8,241.71,,,2.01
BANKBARODA,2025-08-29,,,104,233.97,40.58
BANKINDIA,2024-12-09,104,117.59,,,14.69
BANKINDIA,2024-12-12,33,113.43,,,4.88
BANKINDIA,2025-01-13,58,92.76,,,6.58
BANKINDIA,2025-02-12,6,101.61,,,1.05
BANKINDIA,2025-02-12,4,101.6,,,
BANKINDIA,2025-03-12,43,94.84,,,5.23
BANKINDIA,2025-04-29,1,118.3,,,0.12
BANKINDIA,2025-05-29,31,118.95,,,4.83
BOROLTD,2023-07-13,6,221.41,,,
BOROLTD,2023-07-13,7,221.46,,,
BOROLTD,2023-08-14,3,236.79,,,
BOROLTD,2023-08-14,2,236.07,,,
BOROLTD,2023-08-17,3,233.31,,,
BOROLTD,2023-08-17,4,233.34,,,
BOROLTD,2023-09-12,8,218.87,,,
BOROLTD,2023-10-12,3,213.41,,,
BOROLTD,2025-01-15,,,11,383.3,
BOROLTD,2025-01-15,,,41,383.35,36.02
BORORENEW,2022-10-24,22,576.1,,,
BORORENEW,2022-12-01,1,543,,,
BANKINDIA,2025-11-17,5,149.18,,,0.77
BANKINDIA,2025-12-09,,,173,137.67,
BANKINDIA,2025-12-09,,,254,137.69,76.33
BBL,2022-10-24,10,1005.5,,,
BBL,2023-04-03,4,1286.18,,,
BBL,2023-07-13,2,1762.98,,,
