Portfolio Name,Scheme Code,ISIN,Scheme Name,Transaction Date,Transaction Type,Transaction Amount,Transaction Charges,Transaction Units,Transaction NAV,NAV,Date
Pai,120539,INF209K01VF2/-,Aditya Birla Sun Life Digital India Fund - Growth - Direct Plan,2020-11-24,Investment,20000,1,238.452,83.87,160.7,2026-06-12
Pai,120539,INF209K01VF2/-,Aditya Birla Sun Life Digital India Fund - Growth - Direct Plan,2021-01-01,Investment,5000,0.25,53.5592,93.35,160.7,2026-06-12
Pai,120539,INF209K01VF2/-,Aditya Birla Sun Life Digital India Fund - Growth - Direct Plan,2021-04-05,Investment,10000,0.5,93.9538,106.43,160.7,2026-06-12
Pai,120539,INF209K01VF2/-,Aditya Birla Sun Life Digital India Fund - Growth - Direct Plan,2022-07-01,Investment,65000,3.25,541.189,120.1,160.7,2026-06-12
Pai,120539,INF209K01VF2/-,Aditya Birla Sun Life Digital India Fund - Growth - Direct Plan,2022-08-01,Investment,10000,0.5,78.711,127.04,160.7,2026-06-12
Pai,120539,INF209K01VF2/-,Aditya Birla Sun Life Digital India Fund - Growth - Direct Plan,2024-04-08,Redemption,-174226,0,-1005.87,173.21,160.7,2026-06-12
Pai,119544,INF209K01UN8/-,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth - Direct Plan,2020-03-30,Investment,17000,0,662.252,25.67,,
Pai,119544,INF209K01UN8/-,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth - Direct Plan,2023-03-31,Redemption,-27953.6,0,-662.252,42.21,,
Pai,120503,INF846K01EW2/-,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,2020-03-30,Investment,17000,0,415.543,40.9103,,
Pai,120503,INF846K01EW2/-,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,2023-05-02,Redemption,-29896.3,0,-415.543,71.9451,,
Pai,120465,INF846K01DP8/-,Axis Large Cap Fund - Direct Plan - Growth,2020-04-13,Investment,15000,0,517.063,29.01,,
Pai,120465,INF846K01DP8/-,Axis Large Cap Fund - Direct Plan - Growth,2020-05-04,Investment,20000,0,681.896,29.33,,
Pai,120465,INF846K01DP8/-,Axis Large Cap Fund - Direct Plan - Growth,2020-12-01,Investment,10000,0.5,254.894,39.23,,
Pai,120465,INF846K01DP8/-,Axis Large Cap Fund - Direct Plan - Growth,2021-04-30,Redemption,-22083.8,0,-517.063,42.71,,
Pai,120465,INF846K01DP8/-,Axis Large Cap Fund - Direct Plan - Growth,2021-12-08,Redemption,-48507,0,-936.79,51.78,,
Pai,125354,INF846K01K35/-,Axis Small Cap Fund - Direct Plan - Growth,2020-11-24,Investment,20000,1,493.315,40.54,135.58,2026-08-07
Pai,125354,INF846K01K35/-,Axis Small Cap Fund - Direct Plan - Growth,2021-01-01,Investment,5000,0.25,115.977,43.11,135.58,2026-08-07
Pai,125354,INF846K01K35/-,Axis Small Cap Fund - Direct Plan - Growth,2021-03-02,Investment,5000,0.25,106.695,46.86,135.58,2026-08-07
Pai,125354,INF846K01K35/-,Axis Small Cap Fund - Direct Plan - Growth,2021-05-03,Investment,25000,1.25,495.515,50.45,135.58,2026-08-07
Pai,125354,INF846K01K35/-,Axis Small Cap Fund - Direct Plan - Growth,2021-10-01,Investment,5000,0.25,77.312,64.67,135.58,2026-08-07
Pai,125354,INF846K01K35/-,Axis Small Cap Fund - Direct Plan - Growth,2021-11-01,Investment,5000,0.25,76.507,65.35,135.58,2026-08-07
Pai,125354,INF846K01K35/-,Axis Small Cap Fund - Direct Plan - Growth,2021-12-01,Investment,10000,0.5,151.004,66.22,135.58,2026-08-07
Pai,125354,INF846K01K35/-,Axis Small Cap Fund - Direct Plan - Growth,2022-07-01,Investment,25000,1.25,400.621,62.4,135.58,2026-08-07
Pai,125354,INF846K01K35/-,Axis Small Cap Fund - Direct Plan - Growth,2022-08-01,Investment,10000,0.5,148.075,67.53,135.58,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2024-12-16,Investment,100000,5,1898.23,52.678,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2024-12-23,Investment (SIP),1500,0.08,29.658,50.574,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2024-12-30,Investment (SIP),1500,0.08,29.683,50.531,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-01-07,Investment (SIP),1500,0.07,29.602,50.67,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-01-13,Investment (SIP),1500,0.08,32.291,46.45,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-01-20,Investment (SIP),1500,0.08,31,48.385,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-01-27,Investment (SIP),1500,0.08,33.615,44.62,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-02-03,Investment (SIP),1500,0.08,32.657,45.929,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-02-10,Investment (SIP),1500,0.08,32.786,45.749,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-02-17,Investment (SIP),1500,0.08,35.12,42.709,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-02-24,Investment (SIP),1500,0.08,34.998,42.857,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-03-03,Investment (SIP),1500,0.08,36.632,40.946,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-03-10,Investment (SIP),1500,0.08,35.148,42.674,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-03-17,Investment (SIP),1500,0.08,35.802,41.895,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-03-24,Investment (SIP),1500,0.08,33.096,45.32,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-04-01,Investment (SIP),1500,0.08,33.989,44.13,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-04-08,Investment (SIP),1500,0.08,35.002,42.853,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-04-15,Investment (SIP),1500,0.08,33.495,44.78,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-04-22,Investment (SIP),1500,0.08,32.175,46.618,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-04-29,Investment (SIP),1500,0.08,32.612,45.993,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-05-06,Investment (SIP),1500,0.08,33.658,44.563,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-05-13,Investment (SIP),1500,0.08,32.257,46.499,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-05-20,Investment (SIP),1500,0.08,31.162,48.133,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-05-27,Investment (SIP),1500,0.08,30.651,48.936,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-06-03,Investment (SIP),1500,0.08,30.116,49.804,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-06-10,Investment (SIP),1500,0.08,29.143,51.468,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-06-17,Investment (SIP),1500,0.08,29.654,50.58,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-06-24,Investment (SIP),1500,0.08,29.754,50.41,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-07-01,Investment (SIP),1500,0.08,29.167,51.426,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-07-08,Investment (SIP),1500,0.08,29.203,51.362,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-07-15,Investment (SIP),1500,0.08,28.639,52.374,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-07-22,Investment (SIP),1500,0.08,28.58,52.481,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-07-29,Investment (SIP),1500,0.08,29.174,51.413,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-08-05,Investment (SIP),1500,0.08,29.707,50.491,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-08-12,Investment (SIP),1500,0.08,30.153,49.744,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-08-19,Investment (SIP),1500,0.08,29.648,50.591,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-08-26,Investment (SIP),1500,0.08,30.027,49.953,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-09-02,Investment (SIP),1500,0.08,29.943,50.093,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-09-09,Investment (SIP),2200,0.11,43.527,50.541,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-09-16,Investment (SIP),2200,0.11,42.293,52.015,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-09-23,Investment (SIP),2200,0.11,42.353,51.942,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-09-30,Investment (SIP),2200,0.11,43.717,50.321,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-10-07,Investment (SIP),2200,0.11,43.141,50.993,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-10-14,Investment (SIP),2200,0.11,43.395,50.695,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-10-23,Investment (SIP),2200,0.11,42.102,52.251,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-10-28,Investment (SIP),2200,0.11,41.782,52.651,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-11-04,Investment (SIP),2200,0.11,41.767,52.67,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-11-11,Investment (SIP),2200,0.11,42.339,51.959,57,2026-08-07
Pai,147946,INF194KB1AL4/-,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,2025-11-18,Investment (SIP),2200,0.11,42.121,52.228,57,2026-08-07
